gender,seniorcitizen,partner,dependents,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,tenure,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn
0,0,0,0,1,0,1,0,0,0,0,2,0,2,0,1,2,80.65,-0.943766360463232,1
1,0,0,0,1,2,0,2,0,0,2,2,2,52,2,1,1,79.75,0.8534769567426435,0
0,0,1,1,1,2,0,2,0,2,2,0,0,69,2,1,1,64.15,0.8694920617257849,0
0,1,0,0,1,2,1,0,2,0,0,2,0,43,0,1,2,90.25,0.6862448480963711,0
0,0,0,0,1,0,1,2,2,0,0,2,2,15,0,1,1,99.1,-0.3780537333383603,1
0,1,1,0,1,2,0,2,0,0,2,2,0,25,0,1,1,69.5,-0.23411632284938433,0
0,1,1,0,1,2,1,0,2,0,0,0,0,8,0,1,1,80.65,-0.7279595119094158,1
0,1,1,1,1,0,0,2,2,2,2,0,2,60,1,1,1,74.85,0.9587222265423224,0
1,1,0,0,1,2,1,0,0,0,0,2,2,18,0,1,2,95.45,-0.23416044159589444,1
0,0,1,1,1,2,1,2,0,0,0,2,2,63,1,1,1,99.65,1.777058796183631,0
1,1,1,1,1,2,1,0,2,2,2,2,2,66,1,1,2,108.45,2.114633385105133,0
0,0,1,1,1,2,2,1,1,1,1,1,1,34,2,0,1,24.95,-0.612809583518235,0
0,0,0,0,1,2,1,0,0,2,2,2,2,72,2,1,1,107.5,2.4575904611008585,0
0,0,1,0,1,2,1,0,0,2,0,2,2,47,0,1,2,100.5,1.069349983416225,0
1,0,0,0,1,2,1,0,2,0,0,2,0,60,0,1,0,89.9,1.3974169824648148,0
1,0,1,0,0,1,0,2,2,2,0,0,0,72,2,0,0,42.1,0.2994337380696748,0
0,0,1,1,1,0,0,0,0,2,2,0,0,18,1,1,1,54.4,-0.5851030107099355,0
0,0,0,0,1,2,1,0,0,0,0,2,2,9,0,0,2,94.4,-0.6291555791002015,1
0,0,0,0,1,0,0,0,2,0,2,2,2,3,0,1,2,75.3,-0.8996696733264562,0
1,0,1,0,1,2,1,0,2,0,0,0,0,47,1,1,2,78.9,0.6031251296714728,0
0,0,0,0,1,0,0,0,2,2,2,2,2,31,2,0,3,79.2,0.09436980429105092,0
0,0,1,1,1,0,2,1,1,1,1,1,1,50,2,0,0,20.15,-0.5966621222955636,0
1,0,0,0,1,0,1,2,0,2,0,0,0,10,0,1,3,79.85,-0.6158758364006822,0
1,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,3,49.05,-0.9857232883942715,0
0,0,1,1,1,0,2,1,1,1,1,1,1,52,1,1,2,20.4,-0.5261824247457891,0
1,1,1,1,1,2,1,2,0,2,2,2,2,64,2,1,0,111.6,2.124626281189655,0
1,0,1,1,1,2,2,1,1,1,1,1,1,62,2,1,0,24.25,-0.37884787077554094,0
0,0,0,1,1,0,0,2,0,0,2,0,2,3,0,1,0,64.5,-0.9290968772486468,0
0,1,0,0,1,2,1,2,2,2,0,2,2,56,1,0,2,110.5,1.701306908425908,0
0,0,0,0,1,0,0,0,0,0,0,0,2,46,1,0,1,55.65,0.17892338197752528,0
0,0,1,1,1,0,0,2,2,0,0,0,0,8,0,0,3,54.65,-0.7946008785128175,0
1,1,0,0,1,0,0,2,2,0,0,2,2,30,0,1,2,74.75,-0.07588443849115832,0
0,0,1,1,1,2,2,1,1,1,1,1,1,45,1,1,1,25.9,-0.4706148635164053,0
0,0,0,1,1,0,1,0,0,0,0,2,0,1,0,1,2,79.35,-0.9723553082017322,1
0,0,1,1,0,1,0,2,0,0,0,2,2,11,0,0,2,50.55,-0.7579382001629819,0
0,0,1,0,1,0,1,0,0,2,0,0,0,7,0,1,0,75.15,-0.788137482149098,1
0,0,0,0,1,0,1,0,2,2,2,2,2,42,0,1,0,103.8,0.9018752216641474,0
0,0,1,0,1,0,2,1,1,1,1,1,1,49,2,1,0,20.15,-0.5779337144020555,0
1,0,0,0,1,2,1,0,2,0,0,2,2,9,0,1,1,99.3,-0.6020225499965324,0
0,0,1,0,1,0,0,2,0,0,0,2,0,35,1,1,0,62.15,-0.029934764000961255,0
0,0,1,1,1,0,2,1,1,1,1,1,1,48,2,0,0,20.65,-0.5410283829464146,0
0,0,1,1,1,0,2,1,1,1,1,1,1,46,2,1,3,19.95,-0.5983386346629449,0
1,0,1,0,0,1,0,0,0,0,0,2,0,29,0,0,3,33.75,-0.5620950844049544,0
1,0,1,1,1,0,1,0,2,2,0,0,0,30,0,0,0,82.05,0.1265764892433735,0
1,1,0,0,1,0,1,0,0,0,2,0,0,1,0,0,2,74.7,-0.9744068299144487,0
1,0,1,1,1,2,0,2,0,2,2,2,2,66,2,1,3,84.0,1.5136919388920014,0
0,0,0,0,1,2,1,2,2,2,0,2,2,65,0,1,1,111.05,2.128155780910457,0
1,0,0,0,1,2,1,0,2,2,0,2,2,72,2,1,0,100.9,2.2834758279990215,0
0,0,0,0,1,2,1,2,0,0,0,0,0,12,0,1,2,78.95,-0.5982283377966698,1
1,0,1,1,1,2,0,2,2,0,2,0,0,71,1,1,1,66.85,1.0877033819643975,0
1,0,0,0,1,0,2,1,1,1,1,1,1,5,0,0,3,21.05,-0.9571343406557715,1
1,0,0,0,1,0,2,1,1,1,1,1,1,52,2,0,0,21.0,-0.518880772198379,0
0,1,1,0,1,0,1,0,2,2,0,2,2,25,0,1,2,98.5,0.10200234743728637,1
1,0,0,0,1,0,2,1,1,1,1,1,1,1,0,0,3,20.2,-0.9984515467624155,0
0,0,1,1,1,0,2,1,1,1,1,1,1,1,0,0,2,19.45,-0.9987824373612407,0
1,0,0,0,1,2,1,0,0,2,2,2,0,38,1,0,0,95.0,0.5833819906082339,0
0,1,1,0,0,1,0,0,2,2,0,2,0,66,1,0,0,45.55,0.32822122016747,0
1,0,1,0,1,2,1,0,2,2,2,2,2,68,2,1,0,110.0,2.3508892726663486,1
1,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,3,24.3,-0.9631565495543908,0
0,0,1,1,1,2,1,2,2,0,0,2,2,72,1,1,2,104.15,2.214650583443373,0
0,0,0,0,0,1,0,2,0,0,0,0,0,32,1,0,3,30.15,-0.5980959815571396,0
1,0,0,0,1,2,1,0,0,0,0,2,2,43,1,0,3,94.35,0.7226648733404017,0
1,0,1,1,1,0,2,1,1,1,1,1,1,72,2,0,1,19.4,-0.4059147217594449,0
1,0,1,0,1,2,1,2,2,0,0,2,0,55,0,1,2,96.75,1.3039734773565692,1
0,0,0,0,1,0,0,2,0,2,2,0,0,52,1,0,1,57.95,0.33483903214397465,0
0,0,0,0,1,0,1,0,2,2,0,2,0,43,0,1,2,91.65,0.7371358221956917,0
0,1,1,0,1,2,1,0,0,0,0,0,0,37,0,1,2,76.5,0.25802829447001085,1
0,0,1,1,0,1,0,0,2,0,2,2,2,64,2,1,2,54.6,0.5030417532134677,0
1,0,1,1,1,0,1,2,2,0,0,2,0,3,0,0,2,89.85,-0.8977725672265248,0
0,0,0,0,0,1,0,2,0,0,0,0,0,36,2,0,0,31.05,-0.5104320322417082,0
0,0,1,1,1,2,1,2,0,0,0,2,2,10,0,1,2,100.25,-0.5376532988383972,1
0,0,0,0,1,0,2,1,1,1,1,1,1,41,2,0,3,20.65,-0.6389058220789182,0
1,0,1,1,1,2,1,0,2,0,2,0,0,27,0,1,1,85.2,-0.05810458364761597,0
0,0,1,1,1,2,1,0,0,2,0,2,2,56,1,1,1,99.8,1.4259838708300598,0
0,0,0,0,1,0,2,1,1,1,1,1,1,6,0,0,3,20.7,-0.9576196468673818,0
1,0,0,0,1,2,1,0,0,0,0,0,0,3,0,1,2,74.4,-0.9060889509436656,1
0,0,1,1,1,0,0,2,0,0,0,0,0,7,0,0,3,50.7,-0.8527935051595483,0
0,0,1,1,1,0,2,1,1,1,1,1,1,4,0,0,3,20.85,-0.9796128420026322,0
1,0,0,0,1,0,1,2,0,0,2,2,0,33,2,1,2,88.95,0.3283976951535102,0
0,1,0,0,1,2,1,0,0,2,0,0,0,27,0,1,2,78.05,-0.06520770183573091,1
1,0,1,0,1,2,2,1,1,1,1,1,1,72,2,1,0,23.55,-0.24677840309776325,0
1,0,0,0,1,0,2,1,1,1,1,1,1,1,0,0,3,19.75,-0.9986500811217106,0
1,1,0,0,0,1,0,2,2,0,0,2,2,71,1,1,2,56.45,0.7509229304800764,0
0,0,0,0,1,2,1,0,0,0,0,0,2,13,0,1,2,85.95,-0.4710339916082505,0
0,0,1,1,0,1,0,2,2,2,0,2,2,25,0,1,1,58.6,-0.34441318912446167,1
1,0,0,0,1,0,0,0,0,0,2,0,0,67,2,0,0,50.55,0.430951721416077,0
1,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,2,35.45,-0.9917234379196358,1
1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,44.35,-0.9715170520180415,1
0,0,0,0,1,2,2,1,1,1,1,1,1,43,2,1,1,25.7,-0.483144587525254,0
0,0,0,0,1,0,1,2,0,0,0,0,0,23,0,1,0,75.0,-0.2227116268765414,0
0,0,1,1,1,0,2,1,1,1,1,1,1,64,2,0,3,20.2,-0.4436362500255213,0
1,0,0,1,1,0,2,1,1,1,1,1,1,57,2,1,3,19.6,-0.49093154628427454,0
0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,3,70.45,-0.976281876641125,1
0,1,1,1,1,2,0,2,2,2,2,2,2,72,2,1,1,88.05,1.8275527015643613,0
0,0,0,0,1,2,0,2,0,0,2,0,2,8,0,0,2,71.15,-0.7586882188536522,1
0,0,1,0,1,2,1,0,2,0,0,2,2,61,2,1,0,101.05,1.627077117422781,0
1,0,0,0,1,2,1,2,2,0,0,0,0,64,1,1,1,84.3,1.3260990287313499,0
1,1,1,0,1,2,2,1,1,1,1,1,1,71,2,0,0,23.95,-0.23255010734827827,0
0,0,1,1,1,2,1,2,2,0,2,2,0,65,2,1,1,99.05,1.8236040737517136,0
1,0,0,0,1,0,2,1,1,1,1,1,1,3,1,0,3,19.6,-0.9802966825735377,0
1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,45.65,-0.9872233257756126,1
1,0,0,1,1,0,0,0,2,2,0,2,0,30,1,0,1,64.5,-0.1558937852870995,0
1,0,1,1,1,0,0,0,2,2,2,0,2,15,0,1,3,69.5,-0.5346752834489701,0
0,0,1,1,1,0,0,0,0,0,2,2,2,8,0,1,2,68.55,-0.7583793876280821,0
1,0,0,0,1,2,1,0,0,0,0,2,2,7,0,0,3,95.0,-0.7181651501841889,1
0,0,1,1,1,2,1,2,2,2,0,2,2,70,1,1,1,108.15,2.4914957177938173,0
1,0,1,1,1,0,0,2,2,2,2,2,2,62,2,0,2,86.1,1.293539393806947,0
0,0,1,1,1,0,2,1,1,1,1,1,1,6,0,0,3,19.7,-0.9572887562685566,0
0,0,1,1,1,0,1,0,0,0,0,0,2,14,0,1,0,80.9,-0.498762623789805,0
0,0,0,0,1,2,1,0,0,0,0,2,0,22,0,1,0,84.15,-0.2035420315179329,0
1,0,1,1,1,0,2,1,1,1,1,1,1,22,1,0,3,20.15,-0.8221089169618218,0
1,0,1,1,1,0,0,2,0,2,0,2,0,16,2,0,3,64.25,-0.5555875692947249,0
1,0,0,0,1,2,2,1,1,1,1,1,1,10,2,0,0,25.7,-0.8963607673382039,0
0,0,0,1,1,0,0,2,2,0,0,0,0,13,0,1,2,56.0,-0.6700536571150002,0
0,0,1,0,1,2,1,2,0,0,0,0,0,20,0,0,2,82.4,-0.304838673504964,1
0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,2,69.7,-0.94771498827588,0
1,0,0,0,1,2,0,0,2,2,2,0,2,53,2,1,0,73.9,0.7389667501758581,0
0,0,1,1,1,0,2,1,1,1,1,1,1,11,1,0,3,20.6,-0.9041697854704793,0
1,0,1,0,1,0,2,1,1,1,1,1,1,69,2,0,3,19.9,-0.4058264842664248,0
0,0,0,0,1,0,1,0,0,0,0,0,0,4,0,1,0,70.9,-0.8869193555850572,1
1,0,1,0,1,2,0,2,2,2,2,2,2,72,2,1,0,89.05,1.7520214075391884,0
1,1,1,0,0,1,0,0,2,2,0,0,2,58,0,1,2,45.3,0.1623126739164986,1
0,0,1,1,1,0,2,1,1,1,1,1,1,16,0,0,2,20.4,-0.8655658822742022,0
1,0,1,0,1,0,1,2,0,2,2,0,0,43,1,1,0,84.25,0.5541092022988284,0
0,0,1,0,1,2,1,0,0,2,2,2,2,2,0,1,2,104.4,-0.9002432170310866,1
1,0,1,0,1,0,0,0,2,2,2,2,2,14,2,0,3,81.95,-0.485990246675151,0
0,0,1,0,1,0,1,0,0,2,0,2,2,53,1,1,0,94.85,1.1986620294371255,1
0,0,0,0,1,0,2,1,1,1,1,1,1,32,1,0,0,20.55,-0.7185842782760342,0
0,0,1,0,1,2,2,1,1,1,1,1,1,34,0,0,2,24.7,-0.6631490732861802,0
0,1,0,0,1,2,1,0,0,0,0,0,0,15,0,1,3,74.45,-0.5018950547920171,1
0,1,0,0,1,0,1,2,0,0,0,0,0,7,0,0,0,76.45,-0.7851815261329259,1
0,0,1,1,1,2,1,0,2,2,0,2,2,15,0,1,0,105.35,-0.31944197859978424,0
1,0,1,0,1,0,2,1,1,1,1,1,1,61,1,1,1,20.55,-0.4549968272518543,0
0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,29.95,-0.9941499689776875,1
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,45.3,-0.9873777413883976,0
1,0,0,0,1,2,1,0,0,0,0,0,2,8,0,0,0,84.5,-0.7150106598087216,1
1,0,1,1,1,0,0,2,0,2,0,2,2,33,1,0,1,74.75,0.0750016745731475,0
0,0,0,0,1,0,1,0,2,2,0,0,0,13,0,1,2,79.25,-0.5169174879786826,1
0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,2,24.8,-0.996422084422954,1
1,0,0,0,1,0,0,0,2,0,0,0,0,20,0,1,3,51.8,-0.5556537474144899,0
1,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,2,30.4,-0.9711199832994513,0
0,0,0,0,1,0,2,1,1,1,1,1,1,13,1,0,2,19.65,-0.899360842100886,0
0,0,1,0,1,2,0,0,2,0,0,0,0,40,0,0,1,56.6,0.042265564662704425,0
1,0,1,1,1,2,0,2,0,0,2,0,2,43,1,1,1,71.9,0.3926787088186252,0
1,0,1,0,1,0,1,0,2,2,0,0,2,6,0,1,2,91.0,-0.7730929895891774,1
0,0,1,1,1,0,2,1,1,1,1,1,1,69,2,0,0,19.75,-0.4005542940584761,0
0,0,1,1,1,2,1,2,2,2,0,2,2,72,2,0,1,109.7,2.5791817264825037,0
1,0,1,1,1,0,2,1,1,1,1,1,1,59,2,0,1,19.3,-0.48115924393230264,0
0,0,1,0,1,0,1,2,2,0,2,2,0,20,0,1,2,96.55,-0.16837939054943823,0
1,0,1,1,1,2,2,1,1,1,1,1,1,24,2,1,0,24.1,-0.74821001655752,0
1,0,0,0,1,2,1,0,2,2,2,2,2,59,0,1,2,111.35,1.8690684420303008,0
1,0,1,1,1,2,1,0,2,2,2,2,2,72,2,1,0,112.25,2.5405116451664616,0
1,0,0,1,1,0,2,1,1,1,1,1,1,1,0,0,3,20.75,-0.9982088936566103,0
0,0,1,0,1,0,1,2,0,0,2,2,2,27,1,1,1,101.9,0.17552623849625296,0
0,0,0,0,1,0,1,0,2,0,2,0,0,14,0,1,1,80.05,-0.5166307161263676,0
1,0,1,1,1,2,1,2,0,2,0,2,2,71,2,0,2,105.55,2.2598502392429,0
1,0,0,1,1,0,1,0,0,0,0,2,0,13,0,1,1,78.3,-0.5511977540169768,0
1,0,0,0,1,0,1,0,0,0,0,0,0,44,0,0,1,68.85,0.2980881163011188,0
0,0,0,0,1,0,1,0,2,0,2,0,0,33,1,1,0,79.95,0.17715863211712404,0
1,0,1,1,0,1,0,2,2,2,2,0,2,72,2,1,1,55.45,0.8364471205897714,0
1,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0,2,79.9,-0.9721126550959269,1
0,0,0,0,1,0,1,2,0,2,2,2,2,19,0,1,2,106.6,-0.1539084416941481,1
1,0,1,0,1,0,1,0,2,2,2,2,2,64,1,1,1,102.45,1.9283419779665274,0
1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,46.0,-0.9700831927564656,1
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,25.25,-0.9962235500636589,0
1,0,0,1,1,0,2,1,1,1,1,1,1,61,2,0,3,19.75,-0.5113805852916739,0
0,0,1,1,1,0,2,1,1,1,1,1,1,29,1,0,2,20.0,-0.7691002430300196,0
1,1,1,0,1,2,1,0,0,0,0,0,2,23,0,0,2,86.8,-0.13564328063899536,0
0,0,1,0,0,1,0,2,2,2,0,2,2,57,0,1,0,58.75,0.5091963183516168,0
1,0,1,1,0,1,0,2,2,2,2,0,0,72,2,0,1,45.25,0.3778768693645099,0
1,0,1,0,0,1,0,2,2,2,2,2,0,66,2,1,0,56.6,0.6643840092006507,0
1,0,1,1,1,2,0,0,2,2,2,2,2,65,2,1,0,84.2,1.3417391243691559,0
0,0,0,0,1,0,1,0,0,0,0,2,0,8,0,1,0,80.0,-0.7317978428557884,0
0,0,0,0,1,0,1,0,0,0,0,0,0,4,0,1,2,70.15,-0.8889708772977737,1
0,0,1,0,1,2,2,1,1,1,1,1,1,71,2,0,0,24.75,-0.19694627891468328,0
1,0,1,1,1,0,2,1,1,1,1,1,1,1,1,1,2,20.2,-0.9984515467624155,0
1,0,1,0,1,0,0,0,0,0,2,0,0,4,0,0,3,50.05,-0.9282365616917012,1
0,0,0,0,1,0,2,1,1,1,1,1,1,12,1,1,0,19.35,-0.9105890630876888,0
1,0,0,0,0,1,0,2,0,0,0,2,2,24,1,1,3,50.6,-0.43878318790941795,0
0,0,1,1,1,0,0,2,0,2,2,2,2,31,1,1,3,81.15,0.11578945572167103,0
0,0,1,0,1,0,0,0,0,0,0,2,0,1,0,0,3,55.2,-0.9830099854839047,1
1,0,0,0,1,2,1,0,0,0,2,0,2,30,0,1,1,89.9,0.19405611203046597,0
0,0,1,1,1,2,0,2,2,0,2,2,2,47,2,1,1,85.3,0.8047036824758043,0
1,0,0,0,1,2,1,2,2,0,2,2,2,54,2,1,1,108.0,1.5341630372726556,0
1,0,0,0,1,0,1,2,2,0,2,0,2,50,0,1,1,93.5,1.0871739570062773,0
1,0,0,0,1,0,1,2,0,0,0,0,2,1,0,1,3,84.6,-0.9700390740099556,1
0,0,0,0,1,0,2,1,1,1,1,1,1,72,2,0,1,20.25,-0.31606689449176684,0
0,0,0,0,1,2,2,1,1,1,1,1,1,29,0,0,2,25.15,-0.6976499330570245,0
1,0,0,0,1,2,0,0,2,0,0,0,0,2,0,1,3,54.4,-0.9570240437894965,1
0,0,0,0,0,1,0,0,0,0,2,0,0,10,2,1,3,29.6,-0.8754264221191942,0
1,0,1,0,1,2,1,0,0,0,0,0,0,18,0,1,2,73.15,-0.4311947635096926,0
0,1,0,0,1,0,1,0,2,0,0,2,2,11,0,1,2,95.0,-0.513101216405565,1
1,0,0,0,1,0,2,1,1,1,1,1,1,16,2,0,3,19.75,-0.8819118778561688,0
0,0,0,0,1,2,0,0,2,2,2,2,2,72,2,0,0,86.6,1.7943974635620734,0
1,0,0,0,1,2,1,0,2,2,2,2,2,72,2,0,0,109.2,2.468443672742326,0
0,0,1,1,1,0,0,2,0,0,2,2,2,41,1,1,1,74.7,0.3989876895695597,0
0,1,1,0,1,0,1,2,2,2,0,0,2,65,0,0,2,94.4,1.6954170557668187,0
0,1,0,0,1,0,0,0,2,2,0,0,0,13,0,1,2,54.8,-0.6847231403295855,0
1,1,0,0,1,0,1,2,0,0,0,0,0,4,0,0,2,75.35,-0.8867428805990171,0
1,0,0,0,1,2,0,0,0,2,0,0,2,41,1,0,3,65.0,0.1096348905835218,0
1,1,0,0,1,0,1,0,2,0,0,0,0,15,0,1,2,74.4,-0.5333958398001793,1
1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,1,3,48.55,-0.9859438821268216,1
1,0,0,0,1,2,1,2,2,2,0,0,2,42,1,1,2,99.0,0.8890587258029833,0
0,0,1,0,1,0,1,2,2,2,0,2,0,51,1,1,2,93.5,1.0307240208466928,0
0,0,1,1,1,0,1,0,0,0,0,0,0,2,0,0,2,70.4,-0.9424427980679311,1
1,1,1,0,0,1,0,0,2,0,0,2,0,1,0,0,2,40.2,-0.9896277974604093,1
1,0,0,1,1,2,0,0,2,2,2,2,2,32,1,0,1,83.7,0.1544154182912032,0
1,0,0,0,1,0,2,1,1,1,1,1,1,10,0,1,3,19.85,-0.9221922934198269,0
0,0,1,1,0,1,0,0,2,2,2,2,2,67,2,1,2,59.55,0.803225704467718,0
0,0,1,1,1,2,1,2,2,2,2,2,2,61,2,0,1,115.1,2.0845443999852917,0
1,0,0,0,1,2,1,2,2,2,2,2,2,50,1,0,1,114.35,1.5475971955849603,0
0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,1,44.6,-0.9718258832436117,1
0,1,1,0,0,1,0,2,0,2,0,0,2,29,0,1,2,45.0,-0.46529855456194646,0
1,1,0,0,0,1,0,0,0,2,0,0,2,3,0,1,2,41.15,-0.9490385506711809,1
1,1,0,0,1,2,1,0,2,2,0,2,2,13,0,1,2,106.9,-0.40545147492108957,1
1,1,1,0,1,2,1,0,2,0,0,0,2,57,0,1,2,89.85,1.1656391476743675,0
0,0,0,0,0,1,0,2,2,0,2,0,2,31,2,1,0,49.85,-0.3367144678584614,0
0,0,1,0,1,2,1,2,2,2,2,2,2,45,1,0,3,113.3,1.2128020876935903,0
0,0,1,1,1,2,0,2,2,2,2,2,2,61,2,0,3,88.1,1.4309692891856935,0
1,0,0,0,1,2,2,1,1,1,1,1,1,50,2,0,0,24.9,-0.48003421589629686,0
0,1,0,0,1,0,1,2,2,0,2,2,2,19,0,1,3,105.0,-0.1217899942348456,0
1,0,0,0,1,0,2,1,1,1,1,1,1,59,2,0,3,19.35,-0.5222337969331415,1
0,0,1,0,1,2,2,1,1,1,1,1,1,71,2,1,1,24.25,-0.24280771591186046,0
0,1,0,0,1,0,1,0,0,0,2,2,2,16,0,1,2,94.45,-0.3406410362978541,1
1,0,1,0,1,0,0,2,2,0,2,0,0,57,2,1,2,59.75,0.5147993991583909,0
1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,24.8,-0.996422084422954,1
1,1,1,0,1,2,1,0,2,0,2,2,2,20,0,0,2,107.05,-0.049082299986314526,0
1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,3,70.6,-0.9762156985213599,1
1,0,1,0,1,2,1,0,2,0,2,0,0,5,0,1,2,85.4,-0.8304032413057076,1
0,0,1,0,1,2,1,0,2,2,0,2,2,52,0,1,2,105.05,1.474249779512034,1
1,1,1,0,1,0,0,2,2,0,0,0,2,21,0,1,0,64.95,-0.41626056781604714,0
